Company,Subsidiary ,Website,Icon,Data?,Gender,Ethnicity,LGBTQ+,Disabled,Targets,Leadership/Engineering,Age,Retention,Equal Pay,Promotion Rates,Complaints,EEO-1?,Open Data,Updated,Notes
Starbreeze Studios,,https://www.starbreeze.com/,starbreeze.png,,,,,,,,,,,,,,,,
Stardock,,https://www.stardock.com/,stardock.png,,,,,,,,,,,,,,,,
System Era,,https://systemera.net/,,,,,,,,,,,,,,,,,
Take-Two Interactive,,https://www.take2games.com/,taketwo.svg,,,,,,,,,,,,,,,,
,2K Games,https://www.2k.com,2k-games.svg,,,,,,,,,,,,,,,,
TaleWorlds Entertainment,,https://www.taleworlds.com/,taleworlds.png,,,,,,,,,,,,,,,,
Team17,,https://www.team17.com/,team17.png,,,,,,,,,,,,,,,,
Telltale Games,,https://telltale.com/,telltale.png,,,,,,,,,,,,,,,,
Tencent,,https://www.tencent.com/en-us/index.html,tencent.svg,,,,,,,,,,,,,,,,
,Riot Games,https://www.riotgames.com/,riot_games.png,,,,,,,,,,,,,,,,https://twitter.com/sokareemie?lang=en
,Supercell,http://supercell.com/en/,supercell.svg,,,,,,,,,,,,,,,,
Treasure,,http://www.treasure-inc.co.jp/,treasure.jpg,,,,,,,,,,,,,,,,
Triumph Studios,,http://triumph.net/,triumph.jpg,,,,,,,,,,,,,,,,
Turtle Rock Studios,,https://www.turtlerockstudios.com/,turtle_rock_studios.png,,,,,,,,,,,,,,,,
Ubisoft,,https://www.ubisoft.com/en-US/,ubisoft.png,,,,,,,,,,,,,,,,"http://blog.ubi.com/ubisoft-gdc-2017/
https://www.mcvuk.com/news/read/ubisoft-diversity-is-a-fuel-to-grow-our-market/0167857"
Unity Technologies SF,,https://unity3d.com/,unity_technologies.svg,,,,,,,,,,,,,,,,https://blogs.unity3d.com/2016/06/02/do-you-want-to-make-your-studio-more-diverse/
Valve Corporation,,http://www.valvesoftware.com/,valve.png,,,,,,,,,,,,,,,,
Vlambeer,,http://www.vlambeer.com/,vlambeer.png,,,,,,,,,,,,,,,,
Wargaming,,http://na.wargaming.net/,wargaming.jpg,,,,,,,,,,,,,,,,
Warner Brothers,,https://www.warnerbros.com/,warner_bros.png,,,,,,,,,,,,,,,,
,WB Games,http://www.wbie.com,wb_games.png,,,,,,,,,,,,,,,,
ZeniMax Media Inc,,https://www.zenimax.com/,zeniMax_media.png,,,,,,,,,,,,,,,,
Zynga,,https://www.zynga.com/,zynga.jpg,,,,,,,,,,,,,,,,https://medium.com/@zyngaorg/games-as-a-gateway-to-cs-867d55a90ee5
